"Time_Range","member_casual","month","rideable_type","count","Year"
"6-8","casual","June","docked_bike",739,2021
"6-8","casual","June","electric_bike",3585,2021
"6-8","member","June","classic_bike",18712,2021
"6-8","member","June","electric_bike",7490,2021
"8-10","casual","June","classic_bike",9096,2021
"8-10","casual","June","docked_bike",2094,2021
"8-10","casual","June","electric_bike",6962,2021
"8-10","member","June","classic_bike",23063,2021
"8-10","member","June","electric_bike",9905,2021
"10-12","casual","June","classic_bike",16284,2021
"10-12","casual","June","docked_bike",4738,2021
"10-12","casual","June","electric_bike",10649,2021
"10-12","member","June","classic_bike",20745,2021
"10-12","member","June","electric_bike",9737,2021
"12-14","casual","June","classic_bike",22411,2021
"12-14","casual","June","docked_bike",6633,2021
"12-14","casual","June","electric_bike",15033,2021
"12-14","member","June","classic_bike",25085,2021
"12-14","member","June","electric_bike",11844,2021
"14-16","casual","June","classic_bike",23555,2021
"14-16","casual","June","docked_bike",7457,2021
"14-16","casual","June","electric_bike",16677,2021
"14-16","member","June","classic_bike",26055,2021
"14-16","member","June","electric_bike",12433,2021
"16-18","casual","June","classic_bike",32797,2021
"16-18","casual","June","docked_bike",8307,2021
"16-18","casual","June","electric_bike",22467,2021
"16-18","member","June","classic_bike",47207,2021
"16-18","member","June","electric_bike",19809,2021
"18-20","casual","June","classic_bike",32596,2021
"18-20","casual","June","docked_bike",7553,2021
"18-20","casual","June","electric_bike",20570,2021
"18-20","member","June","classic_bike",44025,2021
"18-20","member","June","electric_bike",17831,2021
"20-22","casual","June","classic_bike",20044,2021
"20-22","casual","June","docked_bike",5878,2021
"20-22","casual","June","electric_bike",14909,2021
"20-22","member","June","classic_bike",22110,2021
"20-22","member","June","electric_bike",11035,2021
"22-24","casual","June","classic_bike",14326,2021
"22-24","casual","June","docked_bike",4273,2021
"22-24","casual","June","electric_bike",10374,2021
"22-24","member","June","classic_bike",10735,2021
"22-24","member","June","electric_bike",6560,2021
"0-2","casual","July","classic_bike",9422,2021
"0-2","casual","July","docked_bike",2015,2021
"0-2","casual","July","electric_bike",5915,2021
"0-2","member","July","classic_bike",5054,2021
"0-2","member","July","electric_bike",2973,2021
"2-4","casual","July","classic_bike",4284,2021
"2-4","casual","July","docked_bike",1045,2021
"2-4","casual","July","electric_bike",3118,2021
"2-4","member","July","classic_bike",1973,2021
"2-4","member","July","electric_bike",1175,2021
"4-6","casual","July","classic_bike",1674,2021
"4-6","casual","July","docked_bike",369,2021
"4-6","casual","July","electric_bike",1839,2021
"4-6","member","July","classic_bike",3073,2021
"4-6","member","July","electric_bike",1703,2021
"6-8","casual","July","classic_bike",6166,2021
"6-8","casual","July","docked_bike",773,2021
"6-8","casual","July","electric_bike",4648,2021
"6-8","member","July","classic_bike",19828,2021
"6-8","member","July","electric_bike",8033,2021
"8-10","casual","July","classic_bike",11831,2021
"8-10","casual","July","docked_bike",2413,2021
"8-10","casual","July","electric_bike",8064,2021
"8-10","member","July","classic_bike",24877,2021
"8-10","member","July","electric_bike",10457,2021
"10-12","casual","July","classic_bike",21162,2021
"10-12","casual","July","docked_bike",5986,2021
"10-12","casual","July","electric_bike",12232,2021
"10-12","member","July","classic_bike",22921,2021
"10-12","member","July","electric_bike",10019,2021
"12-14","casual","July","classic_bike",30259,2021
"12-14","casual","July","docked_bike",8647,2021
"12-14","casual","July","electric_bike",17699,2021
"12-14","member","July","classic_bike",28311,2021
"12-14","member","July","electric_bike",13096,2021
"14-16","casual","July","classic_bike",32311,2021
"14-16","casual","July","docked_bike",9147,2021
"14-16","casual","July","electric_bike",19094,2021
"14-16","member","July","classic_bike",29210,2021
"14-16","member","July","electric_bike",13540,2021
"16-18","casual","July","classic_bike",40192,2021
"16-18","casual","July","docked_bike",9328,2021
"16-18","casual","July","electric_bike",22588,2021
"16-18","member","July","classic_bike",49556,2021
"16-18","member","July","electric_bike",19677,2021
"18-20","casual","July","classic_bike",40091,2021
"18-20","casual","July","docked_bike",8067,2021
"18-20","casual","July","electric_bike",21226,2021
"18-20","member","July","classic_bike",44845,2021
"18-20","member","July","electric_bike",16722,2021
"20-22","casual","July","classic_bike",24728,2021
"20-22","casual","July","docked_bike",5811,2021
"20-22","casual","July","electric_bike",15258,2021
"20-22","member","July","classic_bike",23097,2021
"20-22","member","July","electric_bike",10779,2021
"22-24","casual","July","classic_bike",19369,2021
"22-24","casual","July","docked_bike",4097,2021
"22-24","casual","July","electric_bike",11188,2021
"22-24","member","July","classic_bike",12675,2021
"22-24","member","July","electric_bike",6760,2021
"0-2","casual","August","classic_bike",8841,2021
"0-2","casual","August","docked_bike",1608,2021
"0-2","casual","August","electric_bike",5286,2021
"0-2","member","August","classic_bike",4844,2021
"0-2","member","August","electric_bike",2864,2021
"2-4","casual","August","classic_bike",3635,2021
"2-4","casual","August","docked_bike",698,2021
"2-4","casual","August","electric_bike",2774,2021
"2-4","member","August","classic_bike",1691,2021
"2-4","member","August","electric_bike",1243,2021
"4-6","casual","August","classic_bike",1799,2021
"4-6","casual","August","docked_bike",287,2021
"4-6","casual","August","electric_bike",2015,2021
"4-6","member","August","classic_bike",3277,2021
"4-6","member","August","electric_bike",1931,2021
"6-8","casual","August","classic_bike",6499,2021
"6-8","casual","August","docked_bike",694,2021
"6-8","casual","August","electric_bike",5213,2021
"6-8","member","August","classic_bike",21683,2021
"6-8","member","August","electric_bike",8864,2021
"8-10","casual","August","classic_bike",11899,2021
"8-10","casual","August","docked_bike",2056,2021
"8-10","casual","August","electric_bike",8801,2021
"8-10","member","August","classic_bike",26894,2021
"8-10","member","August","electric_bike",11786,2021
"10-12","casual","August","classic_bike",21340,2021
"10-12","casual","August","docked_bike",4865,2021
"10-12","casual","August","electric_bike",12828,2021
"10-12","member","August","classic_bike",23727,2021
"10-12","member","August","electric_bike",11186,2021
"12-14","casual","August","classic_bike",28802,2021
"12-14","casual","August","docked_bike",6698,2021
"12-14","casual","August","electric_bike",17741,2021
"12-14","member","August","classic_bike",29583,2021
"12-14","member","August","electric_bike",13784,2021
"14-16","casual","August","classic_bike",31626,2021
"14-16","casual","August","docked_bike",7347,2021
"14-16","casual","August","electric_bike",19000,2021
"14-16","member","August","classic_bike",30275,2021
"14-16","member","August","electric_bike",14220,2021
"16-18","casual","August","classic_bike",40843,2021
"16-18","casual","August","docked_bike",7692,2021
"16-18","casual","August","electric_bike",23118,2021
"16-18","member","August","classic_bike",53575,2021
"16-18","member","August","electric_bike",20471,2021
"18-20","casual","August","classic_bike",38394,2021
"18-20","casual","August","docked_bike",6400,2021
"18-20","casual","August","electric_bike",19529,2021
"18-20","member","August","classic_bike",45259,2021
"18-20","member","August","electric_bike",16725,2021
"20-22","casual","August","classic_bike",21238,2021
"20-22","casual","August","docked_bike",3923,2021
"20-22","casual","August","electric_bike",12403,2021
"20-22","member","August","classic_bike",21338,2021
"20-22","member","August","electric_bike",9906,2021
"22-24","casual","August","classic_bike",15072,2021
"22-24","casual","August","docked_bike",2797,2021
"22-24","casual","August","electric_bike",8910,2021
"22-24","member","August","classic_bike",10899,2021
"22-24","member","August","electric_bike",5656,2021
"0-2","casual","September","classic_bike",6362,2021
"0-2","casual","September","docked_bike",1109,2021
"0-2","casual","September","electric_bike",5009,2021
"0-2","member","September","classic_bike",4183,2021
"0-2","member","September","electric_bike",2680,2021
"2-4","casual","September","classic_bike",2293,2021
"2-4","casual","September","docked_bike",432,2021
"2-4","casual","September","electric_bike",2240,2021
"2-4","member","September","classic_bike",1341,2021
"2-4","member","September","electric_bike",1002,2021
"4-6","casual","September","classic_bike",1376,2021
"4-6","casual","September","docked_bike",196,2021
"4-6","casual","September","electric_bike",1822,2021
"4-6","member","September","classic_bike",2933,2021
"4-6","member","September","electric_bike",1828,2021
"6-8","casual","September","classic_bike",5858,2021
"6-8","casual","September","docked_bike",662,2021
"6-8","casual","September","electric_bike",5723,2021
"6-8","member","September","classic_bike",21422,2021
"6-8","member","September","electric_bike",9272,2021
"8-10","casual","September","classic_bike",11305,2021
"8-10","casual","September","docked_bike",1832,2021
"8-10","casual","September","electric_bike",9162,2021
"8-10","member","September","classic_bike",26842,2021
"8-10","member","September","electric_bike",12735,2021
"10-12","casual","September","classic_bike",18807,2021
"10-12","casual","September","docked_bike",4024,2021
"10-12","casual","September","electric_bike",12564,2021
"10-12","member","September","classic_bike",23689,2021
"10-12","member","September","electric_bike",11785,2021
"12-14","casual","September","classic_bike",24779,2021
"12-14","casual","September","docked_bike",5546,2021
"12-14","casual","September","electric_bike",16464,2021
"12-14","member","September","classic_bike",28879,2021
"12-14","member","September","electric_bike",14852,2021
"14-16","casual","September","classic_bike",26850,2021
"14-16","casual","September","docked_bike",5785,2021
"14-16","casual","September","electric_bike",18188,2021
"14-16","member","September","classic_bike",30436,2021
"14-16","member","September","electric_bike",15426,2021
"16-18","casual","September","classic_bike",36006,2021
"16-18","casual","September","docked_bike",6219,2021
"16-18","casual","September","electric_bike",21959,2021
"16-18","member","September","classic_bike",53377,2021
"16-18","member","September","electric_bike",22057,2021
"18-20","casual","September","classic_bike",32239,2021
"18-20","casual","September","docked_bike",4520,2021
"18-20","casual","September","electric_bike",18696,2021
"18-20","member","September","classic_bike",43349,2021
"18-20","member","September","electric_bike",17322,2021
"20-22","casual","September","classic_bike",16208,2021
"20-22","casual","September","docked_bike",2633,2021
"20-22","casual","September","electric_bike",11632,2021
"20-22","member","September","classic_bike",19388,2021
"20-22","member","September","electric_bike",10135,2021
"22-24","casual","September","classic_bike",13383,2021
"22-24","casual","September","docked_bike",2379,2021
"22-24","casual","September","electric_bike",9628,2021
"22-24","member","September","classic_bike",10979,2021
"22-24","member","September","electric_bike",6345,2021
"0-2","casual","October","classic_bike",3799,2021
"0-2","casual","October","docked_bike",706,2021
"0-2","casual","October","electric_bike",5392,2021
"0-2","member","October","classic_bike",3731,2021
