"Day","month","member_casual","rideable_type","mean_count","Year"
"Sat","August","casual","docked_bike",2456,2021
"Sat","August","casual","electric_bike",5530,2021
"Sat","August","member","classic_bike",9269,2021
"Sat","August","member","electric_bike",3570,2021
"Sun","September","casual","classic_bike",9777,2021
"Sun","September","casual","docked_bike",2050,2021
"Sun","September","casual","electric_bike",5339,2021
"Sun","September","member","classic_bike",8053,2021
"Sun","September","member","electric_bike",3608,2021
"Mon","September","casual","classic_bike",5558,2021
"Mon","September","casual","docked_bike",1113,2021
"Mon","September","casual","electric_bike",4191,2021
"Mon","September","member","classic_bike",8220,2021
"Mon","September","member","electric_bike",4076,2021
"Tue","September","casual","classic_bike",3784,2021
"Tue","September","casual","docked_bike",582,2021
"Tue","September","casual","electric_bike",3590,2021
"Tue","September","member","classic_bike",8600,2021
"Tue","September","member","electric_bike",4400,2021
"Wed","September","casual","classic_bike",4748,2021
"Wed","September","casual","docked_bike",626,2021
"Wed","September","casual","electric_bike",3644,2021
"Wed","September","member","classic_bike",9775,2021
"Wed","September","member","electric_bike",4236,2021
"Thu","September","casual","classic_bike",5250,2021
"Thu","September","casual","docked_bike",729,2021
"Thu","September","casual","electric_bike",4148,2021
"Thu","September","member","classic_bike",9759,2021
"Thu","September","member","electric_bike",4546,2021
"Fri","September","casual","classic_bike",6580,2021
"Fri","September","casual","docked_bike",1175,2021
"Fri","September","casual","electric_bike",4720,2021
"Fri","September","member","classic_bike",8849,2021
"Fri","September","member","electric_bike",4412,2021
"Sat","September","casual","classic_bike",10672,2021
"Sat","September","casual","docked_bike",2220,2021
"Sat","September","casual","electric_bike",5692,2021
"Sat","September","member","classic_bike",8566,2021
"Sat","September","member","electric_bike",3887,2021
"Sun","October","casual","classic_bike",4859,2021
"Sun","October","casual","docked_bike",1192,2021
"Sun","October","casual","electric_bike",4477,2021
"Sun","October","member","classic_bike",5643,2021
"Sun","October","member","electric_bike",3984,2021
"Mon","October","casual","classic_bike",2045,2021
"Mon","October","casual","docked_bike",473,2021
"Mon","October","casual","electric_bike",2995,2021
"Mon","October","member","classic_bike",5946,2021
"Mon","October","member","electric_bike",4470,2021
"Tue","October","casual","classic_bike",2458,2021
"Tue","October","casual","docked_bike",450,2021
"Tue","October","casual","electric_bike",3863,2021
"Tue","October","member","classic_bike",8179,2021
"Tue","October","member","electric_bike",6212,2021
"Wed","October","casual","classic_bike",2368,2021
"Wed","October","casual","docked_bike",412,2021
"Wed","October","casual","electric_bike",3935,2021
"Wed","October","member","classic_bike",8040,2021
"Wed","October","member","electric_bike",6392,2021
"Thu","October","casual","classic_bike",1950,2021
"Thu","October","casual","docked_bike",296,2021
"Thu","October","casual","electric_bike",3336,2021
"Thu","October","member","classic_bike",6243,2021
